date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:14	1050/1050	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:34%20GMT	https://cmsapi.emilima.com.pe/api/files/PhzNNPd9nazCz2kZyCuepABK1vSZfIIL8M57x4Ly.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/PhzNNPd9nazCz2kZyCuepABK1vSZfIIL8M57x4Ly.png	(from https://www.munipozuzo.com.pe/)
10:45:15	2756/2756	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:34%20GMT	https://cmsapi.emilima.com.pe/api/files/rZDWEmYhqZqPpAOr77Sgz2LyQxyhu4VQ1IITgk4R.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/rZDWEmYhqZqPpAOr77Sgz2LyQxyhu4VQ1IITgk4R.png	(from https://www.munipozuzo.com.pe/)
10:45:15	1616/1616	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:34%20GMT	https://cmsapi.emilima.com.pe/api/files/mSCpYxDATyYXaFNlqmSR8WErYyto6Z98sKCogxrY.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/mSCpYxDATyYXaFNlqmSR8WErYyto6Z98sKCogxrY.png	(from https://www.munipozuzo.com.pe/)
10:45:15	1924/1924	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:35%20GMT	https://cmsapi.emilima.com.pe/api/files/4meu4ILLNYS2ZzTcHK2DemjiiuErWNY5BQqWsRZv.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/4meu4ILLNYS2ZzTcHK2DemjiiuErWNY5BQqWsRZv.png	(from https://www.munipozuzo.com.pe/)
10:45:16	1396970/1396970	---MCZ	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:51:35%20GMT	https://cmsapi.emilima.com.pe/api/files/yTIxVCfy2OOt85OpRhvzlwhWgHR5pKvVPsD1Vg9p.png	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/yTIxVCfy2OOt85OpRhvzlwhWgHR5pKvVPsD1Vg9p.png	(from https://www.munipozuzo.com.pe/)
10:45:17	138334/138334	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2015:51:36%20GMT	https://cmsapi.emilima.com.pe/api/files/xtwJq9HaVH7XlSba4C0dp463JklgOFwtxbt96oiM.jpg	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/xtwJq9HaVH7XlSba4C0dp463JklgOFwtxbt96oiM.jpg	(from https://www.munipozuzo.com.pe/)
10:45:17	140730/140730	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:35%20GMT	https://www.munipozuzo.com.pe/prensa/notas-de-prensa/emilima-subastar-39-lotes-de-terrenos-en-6-distritos-de-lima-metropolitana	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/prensa/notas-de-prensa/emilima-subastar-39-lotes-de-terrenos-en-6-distritos-de-lima-metropolitana.html	(from https://www.munipozuzo.com.pe/)
10:45:18	141006/141006	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:37%20GMT	https://www.munipozuzo.com.pe/prensa/notas-de-prensa/teatro-manuel-a-segura-otra-joya-arquitectnica-de-lima-abre-sus-puertas	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/prensa/notas-de-prensa/teatro-manuel-a-segura-otra-joya-arquitectnica-de-lima-abre-sus-puertas.html	(from https://www.munipozuzo.com.pe/)
10:45:18	448961/448961	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2015:51:37%20GMT	https://cmsapi.emilima.com.pe/api/files/duUO28HMq7BYGxOQ9Zc3uHjnAQZbqjvZ4ubOEuuV.jpg	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/duUO28HMq7BYGxOQ9Zc3uHjnAQZbqjvZ4ubOEuuV.jpg	(from https://www.munipozuzo.com.pe/)
10:45:19	140039/140039	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:38%20GMT	https://www.munipozuzo.com.pe/prensa/notas-de-prensa/CERCADO:-EMILIMA-ENTREGA-DOS-NUEVAS-ESCULTURAS-DE-ARTE-MODERNO	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/prensa/notas-de-prensa/CERCADO_-EMILIMA-ENTREGA-DOS-NUEVAS-ESCULTURAS-DE-ARTE-MODERNO.html	(from https://www.munipozuzo.com.pe/)
10:45:20	712183/712183	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2015:51:39%20GMT	https://cmsapi.emilima.com.pe/api/files/KBSR2lAQSVIZV1hnOxNykeoFPv7ojyixj2gK66z4.jpg	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/KBSR2lAQSVIZV1hnOxNykeoFPv7ojyixj2gK66z4.jpg	(from https://www.munipozuzo.com.pe/)
10:45:20	324710/324710	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2015:51:40%20GMT	https://cmsapi.emilima.com.pe/api/files/IN1yPltqPNvpX5wUMDcEKBqN1vNKCeWQf3GBBiOb.jpg	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/IN1yPltqPNvpX5wUMDcEKBqN1vNKCeWQf3GBBiOb.jpg	(from https://www.munipozuzo.com.pe/)
10:45:20	139799/139799	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:39%20GMT	https://www.munipozuzo.com.pe/prensa/notas-de-prensa/EMILIMA-REALIZAR-SUBASTA-PBLICA-DE-ARRENDAMIENTO-DE-CINCO-INMUEBLES	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/prensa/notas-de-prensa/EMILIMA-REALIZAR-SUBASTA-PBLICA-DE-ARRENDAMIENTO-DE-CINCO-INMUEBLES.html	(from https://www.munipozuzo.com.pe/)
10:45:21	330931/330931	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2015:51:40%20GMT	https://cmsapi.emilima.com.pe/api/files/1CgAShjrrWDOyWMX0WOm0AYlp8CKI89h9pPYQdw0.jpg	C:/My%20Web%20Sites/MUNI/cmsapi.emilima.com.pe/api/files/1CgAShjrrWDOyWMX0WOm0AYlp8CKI89h9pPYQdw0.jpg	(from https://www.munipozuzo.com.pe/)
